City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Rawson,AR,2022-04-07 03:01:01,-43.3002,-65.1023,286.59,77,92,7.87
223,Labuhan,ID,2022-04-07 03:01:21,-6.8844,112.2051,302.05,72,100,3.09
224,Kilosa,TZ,2022-04-07 03:01:22,-6.8333,36.9833,294.94,94,83,0.65
225,Honiara,SB,2022-04-07 03:01:22,-9.4333,159.95,302.18,73,100,4.71
226,Berlevag,NO,2022-04-07 03:01:23,70.8578,29.0864,273.04,84,100,10.15
227,Barcelos,PT,2022-04-07 03:01:23,41.5388,-8.6151,285.29,90,100,1.15
228,Pochutla,MX,2022-04-07 03:01:24,15.7432,-96.4661,298.61,77,17,2.31
229,Bengkulu,ID,2022-04-07 03:02:25,-3.8004,102.2655,297.69,88,100,4.42
230,Camana,PE,2022-04-07 03:02:26,-16.6228,-72.7111,293.43,87,49,2.44
231,Kavieng,PG,2022-04-07 03:02:26,-2.5744,150.7967,301.21,76,100,3.36
232,Ushtobe,KZ,2022-04-07 03:02:27,45.2514,77.9838,294.09,32,27,1.54
233,Nicoya,CR,2022-04-07 03:02:27,10.1483,-85.452,300.37,77,92,0.77
234,Saskylakh,RU,2022-04-07 03:02:28,71.9167,114.0833,253.73,92,28,2.75
235,Teguldet,RU,2022-04-07 03:02:28,57.3064,88.1667,275.77,77,45,5.45
236,San Vicente,AR,2022-04-07 03:02:29,-26.6167,-54.1333,292.26,95,100,0.96
237,Piopio,NZ,2022-04-07 03:02:29,-38.4667,175.0167,291.25,50,93,1.36
238,Nador,MA,2022-04-07 03:02:30,35.174,-2.9287,287.29,77,0,4.12
239,Nchelenge,ZM,2022-04-07 03:02:30,-9.3451,28.734,292.65,95,90,3.6
240,Luderitz,NA,2022-04-07 03:02:31,-26.6481,15.1594,289.34,65,100,8.18
241,Altay,CN,2022-04-07 03:02:31,47.8667,88.1167,285.37,47,86,1.68
242,Elko,US,2022-04-07 03:02:32,41.0002,-115.5012,281.89,23,94,2.24
243,Panalingaan,PH,2022-04-07 03:02:32,8.7842,117.4231,299.9,76,100,0.8
244,Niquero,CU,2022-04-07 03:02:33,20.0431,-77.5828,298.81,76,10,2.27
245,Iwaki,JP,2022-04-07 03:02:34,37.05,140.8833,289.69,54,68,2.68
246,Newport,GB,2022-04-07 03:00:00,51.5877,-2.9984,282.45,79,96,11.93
247,Lata,PT,2022-04-07 03:02:34,40.1629,-8.3327,283.66,79,100,1.4
248,Oistins,BB,2022-04-07 03:02:35,13.0667,-59.5333,298.24,78,39,6.98
249,San Quintin,MX,2022-04-07 03:02:35,30.4833,-115.95,291.55,72,0,2.64
250,Maturin,VE,2022-04-07 03:02:36,9.75,-63.1767,295.48,88,4,2.76
251,Garowe,SO,2022-04-07 03:02:36,8.4054,48.4845,292.41,94,1,2.76
252,Solnechnyy,RU,2022-04-07 03:02:37,50.7214,136.6319,270.63,62,100,5.12
253,Acapulco,MX,2022-04-07 02:59:46,16.8634,-99.8901,297.51,79,84,2.86
254,Bethel,US,2022-04-07 03:00:26,41.3712,-73.414,282.2,91,100,3.09
255,Teya,RU,2022-04-07 03:02:38,60.3778,92.6267,272.98,84,99,5.3
256,Bontang,ID,2022-04-07 03:02:38,0.1333,117.5,299.97,81,100,5.92
257,Pachperwa,IN,2022-04-07 03:02:39,27.5167,82.65,303.15,40,0,6.49
258,Grand Gaube,MU,2022-04-07 02:53:02,-20.0064,57.6608,297.37,83,82,1.34
259,Yura,PE,2022-04-07 03:02:40,-16.2522,-71.6797,288.15,60,77,0.79
260,Wahiawa,US,2022-04-07 03:02:40,21.5028,-158.0236,297.01,66,100,6.69
