City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Werda,BW,-25.2667,23.2833,72.014,61,43,2.68,light rain
248,Sao Francisco De Assis,BR,-29.5503,-55.1311,71.888,87,100,5.27,overcast clouds
249,Le Vauclin,MQ,14.5452,-60.8388,86.054,62,75,7.72,broken clouds
250,Provideniya,RU,64.3833,-173.3,19.202,92,92,3.78,overcast clouds
251,Adrar,MR,20.5022,-10.0711,101.372,4,2,5.89,clear sky
252,Laguna,US,38.421,-121.4238,52.142,79,100,5.66,overcast clouds
253,Bud,US,39.447,-86.1758,68.018,90,100,6.04,overcast clouds
254,Soyo,AO,-6.1349,12.3689,80.672,80,99,2.3,moderate rain
255,Randazzo,IT,37.8774,14.9501,55.418,50,9,0.45,clear sky
256,Sabha,LY,27.0377,14.4283,86.396,11,0,5.99,clear sky
257,Casma,CL,-41.0082,-73.1244,49.244,94,100,1.71,overcast clouds
258,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.348,70,75,12.35,moderate rain
259,Chuncheng,CN,22.1731,111.7886,71.888,88,0,1.44,clear sky
260,Delta Del Tigre,UY,-34.7633,-56.3853,71.708,92,100,6.69,light rain
261,Beterou,BJ,9.1992,2.2586,101.066,26,58,2.43,broken clouds
262,Pakxan,LA,18.3778,103.6601,81.23,54,35,1.51,scattered clouds
263,Lebu,CL,-37.6167,-73.65,54.554,61,45,1.68,scattered clouds
264,Tawang,IN,27.5833,91.8667,47.48,84,46,1.39,scattered clouds
265,Leshukonskoye,RU,64.8989,45.7622,38.894,92,84,3.45,broken clouds
266,Faya,SA,18.3851,42.4509,77.108,42,3,5.34,clear sky
267,Sakaiminato,JP,35.55,133.2333,58.982,82,40,2.57,scattered clouds
268,Chimoio,MZ,-19.1164,33.4833,76.856,78,40,5.66,scattered clouds
269,Tautira,PF,-17.7333,-149.15,79.862,77,29,5.36,light rain
270,Ribeira Grande,PT,38.5167,-28.7,61.196,82,75,7.72,broken clouds
271,Diffa,NE,13.3154,12.6113,105.836,4,99,6.29,overcast clouds
272,Mahibadhoo,MV,3.7833,72.9667,84.686,72,49,6.04,scattered clouds
273,Macklin,CA,52.3334,-109.9348,21.542,61,100,8.03,overcast clouds
274,Lata,PT,40.1629,-8.3327,58.82,68,84,5.28,broken clouds
275,Raga,SS,8.4596,25.678,92.93,32,93,3.63,overcast clouds
